Rank,Equipe,Country,Attack,Assist,Corner_taken,Offside,Match_played
01,Man_United,England,331,6,37,11,6
02,Arsenal,England,249,6,40,9,6
03,Qarabağ,Azerbaijan,247,6,37,20,6
04,Monaco,France,246,7,40,17,6
05,Fenerbahçe,Türkiye,236,7,34,11,6
05,Real_Sociedad,Spain,236,7,27,6,6
07,Lazio,Italy,234,7,25,13,6
08,Freiburg,Germany,228,9,26,4,6
09,Roma,Italy,225,6,40,9,6
10,Crvena_zvezda,Serbia,219,6,27,13,6
10,Bodø/Glimt,Norway,219,4,30,4,6
12,Rennes,France,216,10,37,15,6
12,Feyenoord,Netherlands,216,10,24,7,6
14,Nantes,France,212,6,37,6,6
15,Sturm,Austria,208,4,23,6,6
