,Rank,Nom,Equipe,Poste,Assist,Corner_taken,Offside,Match_played
0,01,Evander,Midtjylland,Midfielder,5,12,1,6
1,02,Bakasetas,Trabzonspor,Midfielder,4,17,0,6
2,03,Pellegrini,Roma,Midfielder,3,29,1,5
3,03,Gakpo,PSV,Forward,3,10,5,5
4,03,Rossi,Fenerbahçe,Midfielder,3,10,1,4
5,03,Blas,Nantes,Midfielder,3,5,0,6
6,03,Miranda,Betis,Defender,3,3,0,6
7,08,Kady,Qarabağ,Midfielder,2,29,2,6
8,08,Bourigeaud,Rennes,Midfielder,2,20,1,6
9,08,Eriksen,Man_United,Midfielder,2,20,1,6
10,08,Cauly,Ludogorets,Midfielder,2,13,1,6
11,08,Günter,Freiburg,Defender,2,13,1,6
12,08,Teuma,Union_SG,Midfielder,2,11,1,6
13,08,Pep_Biel,Olympiacos,Forward,2,9,0,5
14,08,Tokmac_Nguen,Ferencváros,Forward,2,8,3,6
